record_num,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,country
16,0.437,https://api.spotify.com/v1/audio-analysis/1LiN0Z98FkR1t0m8KmLcAH,0.79,190005,0.631,1LiN0Z98FkR1t0m8KmLcAH,0.0,8,0.158,-5.549,0,0.0425,94.039,4,https://api.spotify.com/v1/tracks/1LiN0Z98FkR1t0m8KmLcAH,audio_features,spotify:track:1LiN0Z98FkR1t0m8KmLcAH,0.889,Argentina
17,0.113,https://api.spotify.com/v1/audio-analysis/3g4UyIcQwutiG0TfW32GnX,0.805,219302,0.671,3g4UyIcQwutiG0TfW32GnX,0.0,5,0.278,-5.316,1,0.111,90.979,4,https://api.spotify.com/v1/tracks/3g4UyIcQwutiG0TfW32GnX,audio_features,spotify:track:3g4UyIcQwutiG0TfW32GnX,0.522,Argentina
18,0.265,https://api.spotify.com/v1/audio-analysis/3f5lA8nnc4YYF1qf78WpHw,0.75,219357,0.665,3f5lA8nnc4YYF1qf78WpHw,0.0,8,0.0515,-3.083,1,0.124,95.239,4,https://api.spotify.com/v1/tracks/3f5lA8nnc4YYF1qf78WpHw,audio_features,spotify:track:3f5lA8nnc4YYF1qf78WpHw,0.697,Argentina
19,0.266,https://api.spotify.com/v1/audio-analysis/46lvmzK8wxAy66tjzXXSh0,0.849,264483,0.655,46lvmzK8wxAy66tjzXXSh0,0.0,8,0.0781,-2.899,1,0.106,161.966,4,https://api.spotify.com/v1/tracks/46lvmzK8wxAy66tjzXXSh0,audio_features,spotify:track:46lvmzK8wxAy66tjzXXSh0,0.76,Argentina
20,0.291,https://api.spotify.com/v1/audio-analysis/6MJUCumnQsQEKbCy28tbCP,0.788,207853,0.771,6MJUCumnQsQEKbCy28tbCP,5.62e-05,4,0.172,-3.206,0,0.0563,99.038,4,https://api.spotify.com/v1/tracks/6MJUCumnQsQEKbCy28tbCP,audio_features,spotify:track:6MJUCumnQsQEKbCy28tbCP,0.701,Argentina
21,0.0165,https://api.spotify.com/v1/audio-analysis/2D3z17LBMJ2HEHeBFFjTLi,0.747,158800,0.74,2D3z17LBMJ2HEHeBFFjTLi,9.94e-05,4,0.101,-4.325,0,0.191,176.059,4,https://api.spotify.com/v1/tracks/2D3z17LBMJ2HEHeBFFjTLi,audio_features,spotify:track:2D3z17LBMJ2HEHeBFFjTLi,0.552,Argentina
22,0.0156,https://api.spotify.com/v1/audio-analysis/3JjaofJ0lCeEsFSZqppzOp,0.828,224681,0.588,3JjaofJ0lCeEsFSZqppzOp,0.0,2,0.124,-7.14,1,0.118,94.052,4,https://api.spotify.com/v1/tracks/3JjaofJ0lCeEsFSZqppzOp,audio_features,spotify:track:3JjaofJ0lCeEsFSZqppzOp,0.598,Argentina
23,0.374,https://api.spotify.com/v1/audio-analysis/5KbBGUpIZd6gVFUU8tqYiQ,0.83,237013,0.71,5KbBGUpIZd6gVFUU8tqYiQ,0.0,11,0.0877,-5.523,0,0.326,93.977,4,https://api.spotify.com/v1/tracks/5KbBGUpIZd6gVFUU8tqYiQ,audio_features,spotify:track:5KbBGUpIZd6gVFUU8tqYiQ,0.703,Argentina
24,0.184,https://api.spotify.com/v1/audio-analysis/7BuHdm4lQqcyG3qTwdkxus,0.8,226200,0.74,7BuHdm4lQqcyG3qTwdkxus,0.0,10,0.0558,-4.52,0,0.0479,90.035,4,https://api.spotify.com/v1/tracks/7BuHdm4lQqcyG3qTwdkxus,audio_features,spotify:track:7BuHdm4lQqcyG3qTwdkxus,0.775,Argentina
25,0.446,https://api.spotify.com/v1/audio-analysis/4T4CZ3Q4z3GG7lU720YYhM,0.778,213913,0.731,4T4CZ3Q4z3GG7lU720YYhM,0.0,5,0.251,-4.325,1,0.0399,91.991,4,https://api.spotify.com/v1/tracks/4T4CZ3Q4z3GG7lU720YYhM,audio_features,spotify:track:4T4CZ3Q4z3GG7lU720YYhM,0.854,Argentina
26,0.154,https://api.spotify.com/v1/audio-analysis/1mT47pKLXUwPYGwB91GcNz,0.715,212493,0.872,1mT47pKLXUwPYGwB91GcNz,0.000146,6,0.11,-3.501,1,0.0547,96.939,4,https://api.spotify.com/v1/tracks/1mT47pKLXUwPYGwB91GcNz,audio_features,spotify:track:1mT47pKLXUwPYGwB91GcNz,0.682,Argentina
